sample 1 (baseline),1760366183558,110059520,5069524,9199616,687000,546000,,
sample 2 (ΔCPU user=46.49 ms/s, ΔCPU sys=78.14 ms/s),1760366184569,111005696,5101344,9199616,734000,625000,46.49,78.14
sample 3 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366185583,111050752,5104232,9199616,734000,625000,0.00,0.00
sample 4 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366186602,111050752,5106548,9199616,734000,625000,0.00,0.00
sample 5 (ΔCPU user=0.00 ms/s, ΔCPU sys=14.82 ms/s),1760366187614,111075328,5110496,9199616,734000,640000,0.00,14.82
sample 6 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366188630,111079424,5113852,9199616,734000,640000,0.00,0.00
sample 7 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366189653,111087616,5116224,9199616,734000,640000,0.00,0.00
sample 8 (ΔCPU user=0.00 ms/s, ΔCPU sys=76.32 ms/s),1760366190675,111112192,5131600,9199616,734000,718000,0.00,76.32
sample 9 (ΔCPU user=30.33 ms/s, ΔCPU sys=0.00 ms/s),1760366191697,111280128,5140184,9199616,765000,718000,30.33,0.00
sample 10 (ΔCPU user=45.99 ms/s, ΔCPU sys=31.31 ms/s),1760366192719,111468544,5177284,9199616,812000,750000,45.99,31.31
sample 11 (ΔCPU user=27.88 ms/s, ΔCPU sys=13.49 ms/s),1760366193831,111738880,5185876,9199616,843000,765000,27.88,13.49
sample 12 (ΔCPU user=29.91 ms/s, ΔCPU sys=43.93 ms/s),1760366194901,111837184,5201212,9199616,875000,812000,29.91,43.93
sample 13 (ΔCPU user=72.90 ms/s, ΔCPU sys=0.00 ms/s),1760366195971,111988736,5217336,9199616,953000,812000,72.90,0.00
sample 14 (ΔCPU user=27.26 ms/s, ΔCPU sys=27.26 ms/s),1760366197108,112066560,5235076,9199616,984000,843000,27.26,27.26
sample 15 (ΔCPU user=58.55 ms/s, ΔCPU sys=15.11 ms/s),1760366198167,112160768,5252768,9199616,1046000,859000,58.55,15.11
sample 16 (ΔCPU user=83.11 ms/s, ΔCPU sys=14.15 ms/s),1760366199298,112250880,5270252,9199616,1140000,875000,83.11,14.15
sample 17 (ΔCPU user=55.17 ms/s, ΔCPU sys=40.28 ms/s),1760366200440,112336896,5288100,9199616,1203000,921000,55.17,40.28
sample 18 (ΔCPU user=14.49 ms/s, ΔCPU sys=60.87 ms/s),1760366201475,112410624,5304160,9199616,1218000,984000,14.49,60.87
sample 19 (ΔCPU user=73.31 ms/s, ΔCPU sys=15.04 ms/s),1760366202539,112484352,5321420,9199616,1296000,1000000,73.31,15.04
sample 20 (ΔCPU user=28.65 ms/s, ΔCPU sys=0.00 ms/s),1760366203656,112566272,5340196,9199616,1328000,1000000,28.65,0.00
sample 21 (ΔCPU user=132.83 ms/s, ΔCPU sys=14.23 ms/s),1760366204710,112627712,5365284,9199616,1468000,1015000,132.83,14.23
sample 22 (ΔCPU user=62.19 ms/s, ΔCPU sys=15.79 ms/s),1760366205723,112685056,5380896,9199616,1531000,1031000,62.19,15.79
