sample 1 (baseline),1759764168934,108314624,5043180,9461760,796000,531000,,
sample 2 (ΔCPU user=61.95 ms/s, ΔCPU sys=46.21 ms/s),1759764169951,109105152,5060108,9461760,859000,578000,61.95,46.21
sample 3 (ΔCPU user=30.51 ms/s, ΔCPU sys=0.00 ms/s),1759764170967,109236224,5063724,9461760,890000,578000,30.51,0.00
sample 4 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764171979,109236224,5066040,9461760,890000,578000,0.00,0.00
sample 5 (ΔCPU user=15.21 ms/s, ΔCPU sys=29.47 ms/s),1759764173031,109252608,5079824,9461760,906000,609000,15.21,29.47
sample 6 (ΔCPU user=30.45 ms/s, ΔCPU sys=46.17 ms/s),1759764174049,109424640,5098096,9461760,937000,656000,30.45,46.17
sample 7 (ΔCPU user=0.00 ms/s, ΔCPU sys=14.23 ms/s),1759764175103,109580288,5107900,9461760,937000,671000,0.00,14.23
sample 8 (ΔCPU user=15.83 ms/s, ΔCPU sys=0.00 ms/s),1759764176114,109584384,5110436,9461760,953000,671000,15.83,0.00
sample 9 (ΔCPU user=60.96 ms/s, ΔCPU sys=0.00 ms/s),1759764177131,109584384,5123216,9461760,1015000,671000,60.96,0.00
sample 10 (ΔCPU user=46.08 ms/s, ΔCPU sys=15.69 ms/s),1759764178151,109690880,5140896,9461760,1062000,687000,46.08,15.69
sample 11 (ΔCPU user=15.64 ms/s, ΔCPU sys=61.58 ms/s),1759764179174,109703168,5164652,9461760,1078000,750000,15.64,61.58
sample 12 (ΔCPU user=30.66 ms/s, ΔCPU sys=45.50 ms/s),1759764180185,110579712,5279000,9461760,1109000,796000,30.66,45.50
sample 13 (ΔCPU user=61.14 ms/s, ΔCPU sys=46.35 ms/s),1759764181199,110624768,5296604,9461760,1171000,843000,61.14,46.35
sample 14 (ΔCPU user=77.83 ms/s, ΔCPU sys=0.00 ms/s),1759764182214,110678016,5304504,9461760,1250000,843000,77.83,0.00
sample 15 (ΔCPU user=90.91 ms/s, ΔCPU sys=61.58 ms/s),1759764183237,110706688,5332656,9461760,1343000,906000,90.91,61.58
sample 16 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764184252,110714880,5335692,9461760,1343000,906000,0.00,0.00
sample 17 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764185274,110714880,5338644,9461760,1343000,906000,0.00,0.00
sample 18 (ΔCPU user=31.25 ms/s, ΔCPU sys=136.72 ms/s),1759764186298,110718976,5361980,9461760,1375000,1046000,31.25,136.72
sample 19 (ΔCPU user=14.73 ms/s, ΔCPU sys=0.00 ms/s),1759764187316,110723072,5374064,9461760,1390000,1046000,14.73,0.00
sample 20 (ΔCPU user=46.03 ms/s, ΔCPU sys=31.34 ms/s),1759764188337,110739456,5384108,9461760,1437000,1078000,46.03,31.34
sample 21 (ΔCPU user=0.00 ms/s, ΔCPU sys=14.79 ms/s),1759764189351,110743552,5386484,9461760,1437000,1093000,0.00,14.79
sample 22 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764190371,110743552,5388944,9461760,1437000,1093000,0.00,0.00
sample 23 (ΔCPU user=46.35 ms/s, ΔCPU sys=108.48 ms/s),1759764191385,110813184,5416612,9461760,1484000,1203000,46.35,108.48
sample 24 (ΔCPU user=0.00 ms/s, ΔCPU sys=13.16 ms/s),1759764192525,110813184,5422172,9461760,1484000,1218000,0.00,13.16
sample 25 (ΔCPU user=76.32 ms/s, ΔCPU sys=107.63 ms/s),1759764193547,110825472,5444744,9461760,1562000,1328000,76.32,107.63
sample 26 (ΔCPU user=46.12 ms/s, ΔCPU sys=14.72 ms/s),1759764194566,110911488,5452820,9461760,1609000,1343000,46.12,14.72
sample 27 (ΔCPU user=46.31 ms/s, ΔCPU sys=46.31 ms/s),1759764195581,110915584,5463480,9461760,1656000,1390000,46.31,46.31
sample 28 (ΔCPU user=14.69 ms/s, ΔCPU sys=30.36 ms/s),1759764196602,110923776,5472692,9461760,1671000,1421000,14.69,30.36
sample 29 (ΔCPU user=46.21 ms/s, ΔCPU sys=61.95 ms/s),1759764197619,110923776,5487020,9461760,1718000,1484000,46.21,61.95
sample 30 (ΔCPU user=46.17 ms/s, ΔCPU sys=0.00 ms/s),1759764198637,110936064,5496688,9461760,1765000,1484000,46.17,0.00
